trackName,artistName,num_stream,avg_perc_streamed,num_stream_score,skip_cume_dist,score
"Adore You","harry styles",10,90.25,83.2,85.51,86.32
"Bad Habits",cravity,68,83.43,96.69,78.78,86.3
"Odd Eye",dreamcatcher,62,86.11,93.17,79.57,86.28
Running,gaho,63,84.28,95.68,78.72,86.23
"GO GO",cravity,9,89.75,80.21,88.68,86.21
Shhh,seventeen,4,98.70,59.73,100,86.14
Incomplete,oneus,62,82.00,94.99,81.38,86.12
"Do It Like Me",a.c.e,53,86.27,90.13,81.89,86.1
"SEE SEA",hyolyn,71,83.16,96.91,78.16,86.08
"Be Mine",infinite,57,85.88,91.47,80.87,86.07
"SO BAD",stayc,10,86.72,81.87,89.47,86.02
"A Song Written Easily",oneus,95,81.94,98.29,77.7,85.98
"Low Low",wayv-ten&yangyang,53,85.49,90.13,81.89,85.84
"All About You","nct u",62,85.18,93.17,79.06,85.8
"Breaking Dawn","the boyz",75,82.93,97.6,76.8,85.78
"Film out",bts,64,83.72,94.72,78.89,85.78
"Back Door","stray kids",71,83.31,96.69,77.14,85.71
Levanter,"stray kids",61,85.50,92.64,78.83,85.66
"We Go Up","nct dream",55,86.03,90.56,80.19,85.59
Rollin',"brave girls",84,81.26,98.08,77.36,85.57
Sneakers,"ha sung woon",45,85.88,89.33,81.15,85.45
"FXXK IT",bigbang,62,83.99,93.17,79.06,85.41
Rewind,oneus,6,94.52,77.44,84.21,85.39
"One (Monster & Infinity)",superm,69,82.84,96.11,77.19,85.38
"Loved You",bae173,46,85.53,89.17,81.44,85.38
STEREOTYPE,stayc,46,86.09,89.17,80.42,85.23
"eight(Prod.&Feat. SUGA of BTS)",iu,63,84.13,93.55,77.93,85.2
"Crazy Sexy Cool",astro,66,82.50,94.99,78.1,85.2
CHEESE,"stray kids",36,86.75,87.84,80.76,85.12
"The View","stray kids",68,82.15,95.68,77.53,85.12
"Dumb Dumb","red velvet",6,96.21,68.32,90.38,84.97
Frost,"tomorrow x together",44,83.64,88.85,82.4,84.96
"Close Your Eyes",kshmr,11,89.86,83.2,81.78,84.95
Beautiful,"monsta x",61,84.15,92.64,77.99,84.93
"Touché (Feat. MOON)",woodz,56,84.70,90.83,79.23,84.92
"No More X",to1,21,86.69,86.77,81.04,84.83
"Rush Hour","monsta x",20,85.85,86.35,82.29,84.83
"What is Love",twice,65,82.28,94.72,77.25,84.75
ASAP,stayc,54,84.56,90.24,79.4,84.73
Sunny,suran,63,82.67,93.55,77.93,84.72
Wave,ateez,63,82.21,93.55,77.93,84.56
BOOMBOOM,seventeen,56,84.36,91.47,77.65,84.49
"Apollo 11 (feat. Jay Park)",jamie,75,81.76,97.44,74.25,84.48
"BUNGEE (Fall in Love)","oh my girl",11,82.92,83.89,86.64,84.48
Twilight,oneus,9,88.89,80.21,84.21,84.44
"Save Me",bts,9,88.89,80.21,84.21,84.44
"RING X RING",billlie,22,84.78,86.77,81.78,84.44
"Dun Dun Dance","oh my girl",62,82.11,93.55,77.59,84.42
"LA DI DA",everglow,5,95.16,68.32,89.47,84.32
"After School",weeekly,28,83.58,87.25,82.06,84.3
Promise,ateez,9,83.79,80.21,88.68,84.23
"About Now",day6,57,82.56,91.47,78.04,84.02
Siesta,"weki meki",31,85.32,87.68,79.06,84.02
Home,gaho,58,82.76,92.16,77.08,84
mumumumuch,mamamoo,30,82.62,87.47,81.55,83.88
SAVAGE,a.c.e,61,81.37,93.17,76.85,83.8
"Trouble With You","eric nam",76,80.01,97.44,73.85,83.77
Changer,a.c.e,39,83.92,88.11,79.29,83.77
Save,"nct 127",42,82.99,88.64,79.51,83.71
Butter,bts,64,80.86,96.11,74.08,83.68
CLAP,seventeen,4,100.00,50.88,100,83.63
Lullaby,got7,4,100.00,50.88,100,83.63
Thunder,verivery,4,100.00,50.88,100,83.63
Superhuman,"nct 127",4,100.00,50.88,100,83.63
pov,"ariana grande",3,100.00,50.88,100,83.63
LILAC,iu,4,100.00,50.88,100,83.63
"No Rules","tomorrow x together",44,83.25,89.17,78.44,83.62
"Gas Pedal",cravity,42,84.15,89.33,77.36,83.61
"WITHOUT YOU",nct,64,79.80,94.19,76.74,83.58
"Do 4 Me",epex,39,84.65,88.85,77.02,83.51
"Holiday Party",weeekly,32,83.30,87.68,79.46,83.48
"Without You","golden child",58,81.97,91.68,76.74,83.46
"That’s It",p1harmony,22,81.57,87.04,81.78,83.46
"00:00 (Zero O’Clock)",bts,80,78.62,97.76,73.97,83.45
Down,jessi,64,82.17,94.19,73.74,83.37
"Sweet Night",v,56,80.26,90.83,78.72,83.27
"Get Cool","stray kids",57,81.30,91.47,76.97,83.25
CHEMICAL,bdc,57,81.16,91.47,76.97,83.2
"All Night",astro,69,79.28,96.11,73.68,83.02
"Ra Pam Pam","golden child",21,80.99,86.88,81.04,82.97
Gone,rosé,63,79.87,95.68,73.34,82.96
Numb,cix,59,82.36,92.16,74.19,82.9
"Favorite (Vampire)","nct 127",21,83.13,86.77,78.72,82.87
WOLFGANG,"stray kids",12,84.53,84.43,79.12,82.69
"GAM3 BO1",seventeen,44,82.13,88.85,76.74,82.57
"Simon Says","nct 127",65,79.39,94.72,73.57,82.56
"Heart Shaker",twice,11,82.65,83.2,81.78,82.54
Kidult,seventeen,66,79.62,95.25,72.67,82.51
"HULA HOOP",loona,48,80.92,89.71,76.74,82.46
