trackName,artistName,num_stream,avg_perc_streamed,num_stream_score,skip_cume_dist,score
Lucky,seventeen,9,38.88,80.21,36.05,51.71
"Best of Me","john k",6,42.98,68.32,43.63,51.64
Obelisk,robotaki,7,37.47,72.85,44.48,51.6
"Everywhere (BBC Children In Need)","niall horan",1,68.45,21.49,64.74,51.56
Something,"girl's day",3,48.52,41.23,64.74,51.5
"Love Lies (with Normani)",khalid,7,37.08,72.85,44.48,51.47
HELICOPTER,clc,9,38.12,80.21,36.05,51.46
"Most People (with Lukas Graham)",r3hab,1,68.12,21.49,64.74,51.45
"WITH U",ateez,9,36.26,80.21,37.8,51.42
"Shine Together",sf9,9,41.57,80.21,32.43,51.4
"Sukhumvit Swimming",onf,5,48.97,59.73,45.39,51.36
"Lights Out - Ghastly Remix",zomboy,9,37.76,80.21,36.05,51.34
Asteroid,imlay,1,67.56,21.49,64.74,51.26
Alice,"lady gaga",7,43.22,72.85,37.69,51.25
"Love So Sweet","cherry bullet",4,44.68,59.73,49.24,51.22
"One Step (feat. Jay Park)",hyolyn,2,57.51,31.36,64.74,51.2
"Take Me Home (feat. Bebe Rexha)","cash cash",7,43.02,72.85,37.69,51.19
"YOU CAN'T HOLD MY HEART","monsta x",8,39.85,77.44,36.28,51.19
"Late Night",loco,4,53.36,50.88,49.24,51.16
"Pass By",pell,5,42.72,59.73,50.99,51.15
"Ring My Bell","girl's day",2,56.69,31.36,64.74,50.93
"Jamais Vu",bts,4,52.47,50.88,49.24,50.86
SKYDIVE,verivery,10,38.36,81.87,32.26,50.83
"Hands Up","cherry bullet",7,41.76,72.85,37.69,50.77
"BRING IT",seventeen,6,35.90,68.32,48.05,50.76
"Magic Shop",bts,6,47.74,68.32,36.05,50.7
"We Young","nct dream",14,32.89,84.85,34.3,50.68
"Close to You","lee sang",1,65.77,21.49,64.74,50.67
Enough,sf9,2,55.71,31.36,64.74,50.6
"Memory Bank",dyro,2,55.69,31.36,64.74,50.6
"Come Back Again",infinite,2,55.23,31.36,64.74,50.44
"逆燃 Warrior (JOSHUA, 文俊辉, 徐明浩, MINGYU, VERNON from SEVENTEEN)",seventeen,1,65.03,21.49,64.74,50.42
Work,rihanna,7,44.08,72.85,34.3,50.41
Nobody,"xan griffin",8,39.92,77.44,33.79,50.38
"Open Mind",wonho,11,36.60,83.2,31.13,50.31
"Otra Noche Sin Ti","j balvin",2,54.80,31.36,64.74,50.3
"봄이 좋냐 What The Spring",10cm,2,54.60,31.36,64.74,50.23
"Full Moon",dreamcatcher,11,36.31,83.2,31.13,50.21
BOCA,dreamcatcher,7,43.45,72.85,34.3,50.2
"bad guy","billie eilish",7,43.31,72.85,34.3,50.15
MIST,ateez,7,43.26,72.85,34.3,50.14
Punch,"nct 127",7,43.22,72.85,34.3,50.12
"Numbers (feat. CHANGMO)",jamie,4,50.19,50.88,49.24,50.1
"To you",seventeen,10,31.59,88.85,29.82,50.09
Naughty,"red velvet - irene & seulgi",7,43.09,72.85,34.3,50.08
Bad,infinite,1,63.97,21.49,64.74,50.07
"Bad Girl Good Girl","miss a",2,54.04,31.36,64.74,50.05
Congratulations,"eric nam",11,37.08,83.2,29.71,50
"Bon voyage",yooa,6,38.04,68.32,43.63,50
"Love U","chung ha",2,53.82,31.36,64.74,49.97
Hold,winner,7,42.71,72.85,34.3,49.95
"Ice Cream (with Selena Gomez)",blackpink,11,36.90,83.2,29.71,49.94
"Running - Acoustic","dragon stone",6,37.87,68.32,43.63,49.94
"Take Me Higher",a.c.e,8,38.52,77.44,33.79,49.92
"Saving Lives",armnhmr,1,63.52,21.49,64.74,49.92
Horizon,ingenia,7,42.56,72.85,34.3,49.9
"Thanks to",woodz,6,33.17,72.85,43.63,49.88
"Red Smoke",elephante,5,44.41,59.73,45.39,49.84
"HALA HALA (Hearts Awakened, Live Alive)",ateez,11,36.61,83.2,29.71,49.84
XI,"code kunst",8,38.20,77.44,33.79,49.81
"Follow My Feet (Elephante Remix)","the unlikely candidates",5,44.29,59.73,45.39,49.8
Baby,chanmina,1,63.01,21.49,64.74,49.75
"Know Your Worth",khalid,6,44.66,68.32,36.05,49.68
"Been There Done That (feat. Tove Styrke)",notd,2,52.88,31.36,64.74,49.66
JUMPER,cravity,2,52.83,31.36,64.74,49.64
"Never Abandon Your Family","kanye west",1,62.58,21.49,64.74,49.6
"My Universe",coldplay,1,62.49,21.49,64.74,49.57
"How To Love (feat. GRAY)",ally,2,52.58,31.36,64.74,49.56
"Love Me Harder",woodz,9,32.34,80.21,36.05,49.53
Weekend,taeyeon,2,52.21,31.36,64.74,49.44
"Stay Beautiful - Jamie Ver.",jamie,8,36.44,77.44,33.79,49.22
Pinwheel,seventeen,5,42.50,59.73,45.39,49.21
"Sad Machine","porter robinson",9,34.93,80.21,32.43,49.19
"LOVE BOMB",fromis_9,5,42.34,59.73,45.39,49.15
"Pinky Star (RUN)",gwsn,5,41.53,59.73,45.39,48.88
"What You Waiting For","jeon somi",8,38.86,77.44,30.16,48.82
247,seventeen,4,51.94,50.88,43.63,48.82
Surf,to1,8,35.19,77.44,33.79,48.81
"Punk Right Now",hyo,2,50.28,31.36,64.74,48.79
"Highway to Heaven - English Version","nct 127",3,56.93,41.23,48.05,48.74
"Say My Name",ateez,10,34.42,81.87,29.82,48.7
"Enter the Void",katzhu,7,35.38,72.85,37.69,48.64
갈증,"monsta x",2,49.77,31.36,64.74,48.62
"100 Ways","jackson wang",8,32.07,77.44,36.28,48.6
"In Your Eyes","the weeknd",10,31.56,81.87,32.26,48.56
"행복했던 날들이었다 days gone by",day6,4,51.14,50.88,43.63,48.55
"MIC Drop (Steve Aoki Remix) [Full Length Edition]",bts,4,51.10,50.88,43.63,48.54
"Body Back (feat. Maia Wright)",gryffin,8,38.03,77.44,30.16,48.54
Scream,dreamcatcher,8,37.95,77.44,30.16,48.52
"Love No.5",sf9,4,51.03,50.88,43.63,48.51
"Up & Down",exid,4,50.96,50.88,43.63,48.49
ENEMY,kard,4,50.91,50.88,43.63,48.47
"Losing You",wonho,4,50.84,50.88,43.63,48.45
"Come Through","eric nam",4,50.75,50.88,43.63,48.42
"Troll (Feat. DEAN)",iu,4,50.65,50.88,43.63,48.39
"Check This Out","toby green",4,50.61,50.88,43.63,48.37
"Fall Apart",dubvision,4,50.60,50.88,43.63,48.37
"show me","san holo",4,50.50,50.88,43.63,48.34
"Starry Sky",astro,4,50.52,50.88,43.63,48.34
"water color","whee in",4,50.48,50.88,43.63,48.33
"Vart du sover","victor leksell",6,40.56,68.32,36.05,48.31
"Everyday, Everyday","manila killa",4,50.40,50.88,43.63,48.3
"Cold Water","major lazer",4,50.35,50.88,43.63,48.29
FEVER,ateez,8,33.62,77.44,33.79,48.28
